Var1,Var2,Var3,Var4,Var5,Var6,Var7
LSP01_Ssn006_Set001_Blk001_Trl0010009,0,0,0,0,0,0
LSP01_Ssn006_Set001_Blk001_Trl0020010,0,0,0,0,0,0
LSP01_Ssn006_Set001_Blk001_Trl0030011,0,0,0,0,0,0
LSP01_Ssn006_Set001_Blk001_Trl0040012,0,0,0,0,0,0
LSP01_Ssn006_Set002_Blk001_Trl001,1,1,1000,0.2,1000,50
LSP01_Ssn006_Set002_Blk001_Trl002,1,1,2000,0.2,1000,50
LSP01_Ssn006_Set002_Blk001_Trl003,1,1,3000,0.2,1000,50
LSP01_Ssn006_Set002_Blk001_Trl004,1,1,4000,0.2,1000,50
LSP01_Ssn006_Set002_Blk001_Trl005,1,1,5000,0.2,1000,50
LSP01_Ssn006_Set002_Blk001_Trl006,1,1,6000,0.2,1000,50
LSP01_Ssn006_Set002_Blk001_Trl007,2,5,1000,0.2,1000,50
LSP01_Ssn006_Set002_Blk001_Trl008,2,5,2000,0.2,1000,50
LSP01_Ssn006_Set002_Blk001_Trl009,2,5,3000,0.2,1000,50
LSP01_Ssn006_Set002_Blk001_Trl010,2,5,4000,0.2,1000,50
LSP01_Ssn006_Set002_Blk001_Trl011,2,5,5000,0.2,1000,50
LSP01_Ssn006_Set002_Blk001_Trl012,2,5,6000,0.2,1000,50
LSP01_Ssn006_Set002_Blk001_Trl013,3,9,1000,0.2,1000,50
LSP01_Ssn006_Set002_Blk001_Trl014,3,9,2000,0.2,1000,50
LSP01_Ssn006_Set002_Blk001_Trl015,3,9,3000,0.2,1000,50
LSP01_Ssn006_Set002_Blk001_Trl016,3,9,4000,0.2,1000,50
LSP01_Ssn006_Set002_Blk001_Trl017,3,9,5000,0.2,1000,50
LSP01_Ssn006_Set002_Blk001_Trl018,3,9,6000,0.2,1000,50
LSP01_Ssn006_Set002_Blk001_Trl019,4,13,1000,0.2,1000,50
LSP01_Ssn006_Set002_Blk001_Trl020,4,13,2000,0.2,1000,50
LSP01_Ssn006_Set003_Blk001_Trl008,2,5,2000,0.2,1000,50
LSP01_Ssn006_Set004_Blk001_Trl022,4,13,4000,0.2,1000,50
LSP01_Ssn006_Set004_Blk001_Trl023,4,13,5000,0.2,1000,50
LSP01_Ssn006_Set004_Blk001_Trl024,4,13,6000,0.2,1000,50
LSP01_Ssn006_Set004_Blk001_Trl025,5,17,1000,0.2,1000,50
LSP01_Ssn006_Set004_Blk001_Trl026,5,17,2000,0.2,1000,50
LSP01_Ssn006_Set004_Blk001_Trl027,5,17,3000,0.2,1000,50
LSP01_Ssn006_Set004_Blk001_Trl028,5,17,4000,0.2,1000,50
LSP01_Ssn006_Set004_Blk001_Trl029,5,17,5000,0.2,1000,50
